title,company,price,year,km_driven,fuel_type,transmission,city,link
Hyundai Creta (2019),Hyundai,875000.0,2019,50474.0,Petrol,Automatic,"Manorama Nagar, Thane",https://www.olx.in/item/cars-c84-used-hyundai-creta-in-manorama-nagar-thane-iid-1846429412
Honda Wr-V (2017),Honda,530000.0,2017,140000.0,Petrol,Manual,"Thotapalem, Vizianagaram",https://www.olx.in/item/cars-c84-used-honda-wrv-in-thotapalem-vizianagaram-iid-1847377278
Hyundai Grand I10 Nios (2022),Hyundai,525000.0,2022,25000.0,Petrol,Automatic,"Surajmal Vihar, Delhi",https://www.olx.in/item/cars-c84-used-hyundai-grand-i10-nios-in-surajmal-vihar-delhi-iid-1846794844
Bmw X1 (2014),BMW,9.0,2014,48000.0,Diesel,Automatic,"RV Road, Bengaluru",https://www.olx.in/item/cars-c84-used-bmw-x1-in-rv-road-bengaluru-iid-1841920495
Hyundai Venue (2021),Hyundai,895511.0,2021,56591.0,Petrol,Automatic,"Kuvempu Nagar, Mysuru",https://www.olx.in/item/cars-c84-used-hyundai-venue-in-kuvempu-nagar-mysuru-iid-1842396077
Toyota Fortuner (2023),Toyota,4250000.0,2023,30000.0,Diesel,Automatic,Hsr Layout Sector,https://www.olx.in/item/cars-c84-used-toyota-fortuner-in-hsr-layout-sector-7-bengaluru-iid-1846991590
Honda Elevate (2024),Honda,1450000.0,2024,22017.0,Petrol,Automatic,"Mogappair East Mogappair East, Chennai",https://www.olx.in/item/cars-c84-used-honda-elevate-in-mogappair-east-mogappair-east-chennai-iid-1844746393
Toyota Innova Crysta (2019),Toyota,1475000.0,2019,65000.0,Diesel,Automatic,"Gomti Nagar, Lucknow",https://www.olx.in/item/cars-c84-used-toyota-innova-crysta-in-gomti-nagar-lucknow-iid-1845396938
Ford Ecosport (2020),Ford,580000.0,2020,65000.0,Diesel,Automatic,"Kamta, Lucknow",https://www.olx.in/item/cars-c84-used-ford-ecosport-in-kamta-lucknow-iid-1840613709
Maruti Suzuki S Cross (2015),Maruti Suzuki,695000.0,2015,94000.0,Diesel,Automatic,"Rajarampuri, Kolhapur",https://www.olx.in/item/cars-c84-used-maruti-suzuki-s-cross1-in-rajarampuri-kolhapur-iid-1836974178
